 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.100000       Ave. chord =    0.200000
     CLsurf  =   0.05174     Clsurf  =  -0.01137
     CYsurf  =  -0.00000     Cmsurf  =  -0.00575
     CDsurf  =   0.00035     Cnsurf  =  -0.00021
     CDisurf =   0.00035     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.10348     CDsurf  =   0.00069
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    41  -0.0002   0.2000   0.0002   0.0248   0.0110   0.1242   0.1242   0.0007   0.0000   0.0007   0.0303    0.244
    42  -0.0017   0.2000   0.0005   0.0248   0.0110   0.1242   0.1242   0.0007   0.0000   0.0007   0.0303    0.244
    43  -0.0048   0.2000   0.0008   0.0248   0.0110   0.1242   0.1242   0.0007   0.0000   0.0007   0.0303    0.244
    44  -0.0094   0.2000   0.0011   0.0248   0.0110   0.1242   0.1242   0.0007   0.0000   0.0007   0.0303    0.244
    45  -0.0155   0.2000   0.0014   0.0248   0.0110   0.1242   0.1242   0.0007   0.0000   0.0007   0.0303    0.244
    46  -0.0230   0.2000   0.0016   0.0248   0.0110   0.1241   0.1241   0.0007   0.0000   0.0007   0.0303    0.244
    47  -0.0319   0.2000   0.0019   0.0248   0.0110   0.1241   0.1241   0.0007   0.0000   0.0007   0.0303    0.244
    48  -0.0421   0.2000   0.0022   0.0248   0.0110   0.1240   0.1240   0.0007   0.0000   0.0007   0.0303    0.244
    49  -0.0537   0.2000   0.0024   0.0248   0.0111   0.1238   0.1238   0.0007   0.0000   0.0007   0.0302    0.244
    50  -0.0664   0.2000   0.0027   0.0247   0.0111   0.1236   0.1236   0.0007   0.0000   0.0007   0.0302    0.244
    51  -0.0803   0.2000   0.0029   0.0247   0.0112   0.1233   0.1233   0.0007   0.0000   0.0007   0.0301    0.244
    52  -0.0952   0.2000   0.0031   0.0246   0.0113   0.1229   0.1229   0.0007   0.0000   0.0008   0.0300    0.244
    53  -0.1111   0.2000   0.0033   0.0245   0.0114   0.1224   0.1224   0.0006   0.0000   0.0008   0.0298    0.244
    54  -0.1278   0.2000   0.0034   0.0244   0.0115   0.1218   0.1218   0.0007   0.0000   0.0008   0.0296    0.243
    55  -0.1453   0.2000   0.0036   0.0242   0.0116   0.1211   0.1211   0.0007   0.0000   0.0008   0.0294    0.243
    56  -0.1635   0.2000   0.0037   0.0240   0.0118   0.1202   0.1202   0.0008   0.0000   0.0009   0.0292    0.243
    57  -0.1821   0.2000   0.0038   0.0238   0.0120   0.1191   0.1191   0.0007   0.0000   0.0009   0.0288    0.242
    58  -0.2012   0.2000   0.0039   0.0236   0.0122   0.1179   0.1179   0.0007   0.0000   0.0010   0.0285    0.242
    59  -0.2206   0.2000   0.0039   0.0233   0.0125   0.1164   0.1164   0.0007   0.0000   0.0011   0.0280    0.241
    60  -0.2402   0.2000   0.0039   0.0229   0.0128   0.1147   0.1147   0.0007   0.0000   0.0011   0.0275    0.240
    61  -0.2598   0.2000   0.0039   0.0225   0.0132   0.1128   0.1128   0.0007   0.0000   0.0012   0.0269    0.239
    62  -0.2794   0.2000   0.0039   0.0221   0.0135   0.1105   0.1105   0.0007   0.0000   0.0013   0.0263    0.238
    63  -0.2988   0.2000   0.0039   0.0216   0.0140   0.1080   0.1080   0.0007   0.0000   0.0015   0.0255    0.236
    64  -0.3179   0.2000   0.0038   0.0210   0.0144   0.1051   0.1051   0.0007   0.0000   0.0016   0.0247    0.235
    65  -0.3365   0.2000   0.0037   0.0204   0.0149   0.1019   0.1019   0.0007   0.0000   0.0017   0.0237    0.233
    66  -0.3547   0.2000   0.0036   0.0197   0.0154   0.0983   0.0983   0.0007   0.0000   0.0019   0.0227    0.231
    67  -0.3722   0.2000   0.0034   0.0189   0.0159   0.0943   0.0943   0.0007   0.0000   0.0021   0.0215    0.228
    68  -0.3889   0.2000   0.0033   0.0180   0.0165   0.0898   0.0898   0.0007   0.0000   0.0022   0.0202    0.225
    69  -0.4048   0.2000   0.0031   0.0170   0.0171   0.0849   0.0849   0.0007   0.0000   0.0024   0.0188    0.222
    70  -0.4197   0.2000   0.0029   0.0159   0.0176   0.0796   0.0796   0.0007   0.0000   0.0026   0.0173    0.218
    71  -0.4336   0.2000   0.0027   0.0147   0.0182   0.0738   0.0738   0.0007   0.0000   0.0027   0.0157    0.213
    72  -0.4463   0.2000   0.0024   0.0135   0.0187   0.0675   0.0675   0.0007   0.0000   0.0028   0.0141    0.209
    73  -0.4579   0.2000   0.0022   0.0122   0.0192   0.0608   0.0608   0.0006   0.0000   0.0028   0.0124    0.204
    74  -0.4681   0.2000   0.0019   0.0107   0.0196   0.0536   0.0536   0.0006   0.0000   0.0027   0.0107    0.199
    75  -0.4770   0.2000   0.0016   0.0092   0.0200   0.0461   0.0461   0.0005   0.0000   0.0026   0.0089    0.194
    76  -0.4845   0.2000   0.0014   0.0076   0.0204   0.0382   0.0382   0.0005   0.0000   0.0023   0.0072    0.189
    77  -0.4906   0.2000   0.0011   0.0060   0.0207   0.0301   0.0301   0.0004   0.0000   0.0020   0.0055    0.184
    78  -0.4952   0.2000   0.0008   0.0043   0.0210   0.0217   0.0217   0.0003   0.0000   0.0015   0.0039    0.180
    79  -0.4983   0.2000   0.0005   0.0026   0.0212   0.0131   0.0131   0.0002   0.0000   0.0010   0.0023    0.177
    80  -0.4998   0.2000   0.0002   0.0009   0.0213   0.0044   0.0044   0.0001   0.0000   0.0003   0.0008    0.175
 ---------------------------------------------------------------
