 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.078485       Ave. chord =    0.156970
     CLsurf  =   0.11896     Clsurf  =  -0.02494
     CYsurf  =  -0.00089     Cmsurf  =   0.02039
     CDsurf  =   0.00139     Cnsurf  =  -0.00094
     CDisurf =   0.00139     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.23434     CDsurf  =   0.00274
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    45  -0.0155   0.1999   0.0014   0.0475   0.0243   0.2376   0.2376   0.0029   0.0000   0.0017   0.0577    0.243
    46  -0.0230   0.1998   0.0016   0.0474   0.0243   0.2376   0.2376   0.0029   0.0000   0.0017   0.0577    0.243
    47  -0.0319   0.1996   0.0019   0.0474   0.0243   0.2376   0.2376   0.0029   0.0000   0.0017   0.0577    0.243
    48  -0.0421   0.1993   0.0022   0.0473   0.0243   0.2375   0.2375   0.0029   0.0000   0.0017   0.0577    0.243
    49  -0.0537   0.1988   0.0024   0.0472   0.0243   0.2375   0.2375   0.0029   0.0000   0.0017   0.0576    0.243
    50  -0.0664   0.1982   0.0026   0.0470   0.0242   0.2375   0.2375   0.0029   0.0000   0.0017   0.0576    0.243
    51  -0.0803   0.1974   0.0028   0.0468   0.0242   0.2374   0.2374   0.0029   0.0000   0.0017   0.0576    0.243
    52  -0.0952   0.1963   0.0030   0.0466   0.0242   0.2373   0.2373   0.0029   0.0000   0.0017   0.0576    0.243
    53  -0.1111   0.1950   0.0032   0.0462   0.0242   0.2372   0.2372   0.0029   0.0000   0.0017   0.0575    0.243
    54  -0.1278   0.1933   0.0033   0.0458   0.0242   0.2371   0.2371   0.0029   0.0000   0.0018   0.0575    0.243
    55  -0.1453   0.1913   0.0034   0.0453   0.0242   0.2370   0.2370   0.0029   0.0000   0.0018   0.0574    0.242
    56  -0.1635   0.1890   0.0035   0.0447   0.0241   0.2368   0.2368   0.0029   0.0000   0.0018   0.0573    0.242
    57  -0.1821   0.1861   0.0035   0.0440   0.0241   0.2367   0.2367   0.0029   0.0000   0.0019   0.0572    0.242
    58  -0.2012   0.1829   0.0035   0.0432   0.0240   0.2364   0.2364   0.0028   0.0000   0.0019   0.0571    0.242
    59  -0.2206   0.1794   0.0035   0.0423   0.0240   0.2360   0.2360   0.0028   0.0000   0.0020   0.0569    0.242
    60  -0.2402   0.1754   0.0034   0.0413   0.0239   0.2357   0.2357   0.0028   0.0000   0.0020   0.0568    0.241
    61  -0.2598   0.1708   0.0034   0.0402   0.0239   0.2353   0.2353   0.0028   0.0000   0.0021   0.0566    0.241
    62  -0.2794   0.1658   0.0032   0.0389   0.0238   0.2348   0.2348   0.0028   0.0000   0.0022   0.0563    0.241
    63  -0.2988   0.1603   0.0031   0.0375   0.0237   0.2342   0.2342   0.0028   0.0000   0.0023   0.0561    0.240
    64  -0.3179   0.1543   0.0029   0.0360   0.0235   0.2336   0.2336   0.0027   0.0000   0.0024   0.0558    0.240
    65  -0.3365   0.1478   0.0027   0.0344   0.0234   0.2328   0.2328   0.0027   0.0000   0.0025   0.0554    0.239
    66  -0.3547   0.1409   0.0025   0.0327   0.0232   0.2320   0.2320   0.0027   0.0000   0.0027   0.0550    0.238
    67  -0.3722   0.1335   0.0023   0.0308   0.0229   0.2310   0.2310   0.0026   0.0000   0.0029   0.0545    0.237
    68  -0.3889   0.1256   0.0020   0.0288   0.0226   0.2298   0.2298   0.0026   0.0000   0.0031   0.0539    0.236
    69  -0.4048   0.1173   0.0018   0.0268   0.0222   0.2284   0.2284   0.0025   0.0000   0.0034   0.0532    0.235
    70  -0.4197   0.1086   0.0016   0.0246   0.0218   0.2269   0.2269   0.0024   0.0000   0.0037   0.0523    0.234
    71  -0.4336   0.0995   0.0013   0.0224   0.0211   0.2250   0.2250   0.0023   0.0000   0.0041   0.0513    0.232
    72  -0.4463   0.0900   0.0011   0.0200   0.0203   0.2228   0.2228   0.0021   0.0000   0.0045   0.0501    0.230
    73  -0.4579   0.0802   0.0009   0.0176   0.0192   0.2201   0.2201   0.0019   0.0000   0.0051   0.0486    0.227
    74  -0.4681   0.0701   0.0007   0.0152   0.0177   0.2170   0.2170   0.0016   0.0000   0.0058   0.0468    0.223
    75  -0.4770   0.0597   0.0005   0.0127   0.0155   0.2131   0.2131   0.0013   0.0000   0.0067   0.0444    0.219
    76  -0.4845   0.0490   0.0003   0.0102   0.0124   0.2084   0.2084   0.0007   0.0000   0.0078   0.0412    0.213
    77  -0.4906   0.0382   0.0002   0.0077   0.0073   0.2026   0.2026  -0.0002   0.0000   0.0092   0.0368    0.204
    78  -0.4952   0.0271   0.0001   0.0053  -0.0016   0.1956   0.1956  -0.0019   0.0000   0.0113   0.0305    0.192
    79  -0.4983   0.0157   0.0000   0.0030  -0.0208   0.1888   0.1888  -0.0063   0.0000   0.0144   0.0209    0.174
    80  -0.4998   0.0028   0.0000   0.0008  -0.1128   0.2925   0.2925  -0.0368   0.0000   0.0258   0.0125    0.162
 ---------------------------------------------------------------
