 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.078485       Ave. chord =    0.156970
     CLsurf  =   0.05953     Clsurf  =  -0.01249
     CYsurf  =  -0.00022     Cmsurf  =   0.01021
     CDsurf  =   0.00035     Cnsurf  =  -0.00023
     CDisurf =   0.00035     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.11726     CDsurf  =   0.00069
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    37   0.4906   0.0382   0.0002   0.0039   0.0037   0.1014   0.1014  -0.0000   0.0000   0.0046  -0.0184    0.204
    38   0.4952   0.0271   0.0001   0.0026  -0.0008   0.0978   0.0978  -0.0005   0.0000   0.0056  -0.0153    0.192
    39   0.4983   0.0157   0.0000   0.0015  -0.0104   0.0943   0.0943  -0.0016   0.0000   0.0072  -0.0105    0.173
    40   0.4998   0.0028   0.0000   0.0004  -0.0564   0.1456   0.1456  -0.0092   0.0000   0.0129  -0.0063    0.161
    41  -0.0002   0.2000   0.0002   0.0238   0.0122   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    42  -0.0017   0.2000   0.0005   0.0238   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    43  -0.0048   0.2000   0.0008   0.0238   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    44  -0.0094   0.2000   0.0011   0.0238   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    45  -0.0155   0.1999   0.0014   0.0238   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    46  -0.0230   0.1998   0.0016   0.0237   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    47  -0.0319   0.1996   0.0019   0.0237   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    48  -0.0421   0.1993   0.0022   0.0237   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    49  -0.0537   0.1988   0.0024   0.0236   0.0121   0.1189   0.1189   0.0007   0.0000   0.0008   0.0289    0.243
    50  -0.0664   0.1982   0.0026   0.0235   0.0121   0.1188   0.1188   0.0007   0.0000   0.0009   0.0289    0.243
    51  -0.0803   0.1974   0.0028   0.0234   0.0121   0.1188   0.1188   0.0007   0.0000   0.0009   0.0288    0.243
    52  -0.0952   0.1963   0.0030   0.0233   0.0121   0.1188   0.1188   0.0007   0.0000   0.0009   0.0288    0.243
    53  -0.1111   0.1950   0.0032   0.0231   0.0121   0.1187   0.1187   0.0007   0.0000   0.0009   0.0288    0.243
    54  -0.1278   0.1933   0.0033   0.0229   0.0121   0.1187   0.1187   0.0007   0.0000   0.0009   0.0288    0.243
    55  -0.1453   0.1913   0.0034   0.0227   0.0121   0.1186   0.1186   0.0007   0.0000   0.0009   0.0287    0.242
    56  -0.1635   0.1890   0.0035   0.0224   0.0121   0.1185   0.1185   0.0007   0.0000   0.0009   0.0287    0.242
    57  -0.1821   0.1861   0.0035   0.0220   0.0120   0.1184   0.1184   0.0007   0.0000   0.0009   0.0286    0.242
    58  -0.2012   0.1829   0.0035   0.0216   0.0120   0.1183   0.1183   0.0007   0.0000   0.0010   0.0286    0.242
    59  -0.2206   0.1794   0.0035   0.0212   0.0120   0.1181   0.1181   0.0007   0.0000   0.0010   0.0285    0.242
    60  -0.2402   0.1754   0.0034   0.0207   0.0120   0.1179   0.1179   0.0007   0.0000   0.0010   0.0284    0.241
    61  -0.2598   0.1708   0.0034   0.0201   0.0119   0.1177   0.1177   0.0007   0.0000   0.0010   0.0283    0.241
    62  -0.2794   0.1658   0.0032   0.0195   0.0119   0.1175   0.1175   0.0007   0.0000   0.0011   0.0282    0.241
    63  -0.2988   0.1603   0.0031   0.0188   0.0118   0.1172   0.1172   0.0007   0.0000   0.0011   0.0281    0.240
    64  -0.3179   0.1543   0.0029   0.0180   0.0118   0.1169   0.1169   0.0007   0.0000   0.0012   0.0279    0.240
    65  -0.3365   0.1478   0.0027   0.0172   0.0117   0.1165   0.1165   0.0007   0.0000   0.0013   0.0277    0.239
    66  -0.3547   0.1409   0.0025   0.0163   0.0116   0.1161   0.1161   0.0007   0.0000   0.0014   0.0275    0.238
    67  -0.3722   0.1335   0.0023   0.0154   0.0115   0.1156   0.1156   0.0007   0.0000   0.0015   0.0273    0.237
    68  -0.3889   0.1256   0.0020   0.0144   0.0113   0.1150   0.1150   0.0006   0.0000   0.0016   0.0270    0.236
    69  -0.4048   0.1173   0.0018   0.0134   0.0111   0.1143   0.1143   0.0006   0.0000   0.0017   0.0266    0.235
    70  -0.4197   0.1086   0.0016   0.0123   0.0109   0.1135   0.1135   0.0006   0.0000   0.0019   0.0262    0.234
    71  -0.4336   0.0995   0.0013   0.0112   0.0106   0.1126   0.1126   0.0006   0.0000   0.0020   0.0257    0.232
    72  -0.4463   0.0900   0.0011   0.0100   0.0102   0.1115   0.1115   0.0005   0.0000   0.0023   0.0251    0.230
    73  -0.4579   0.0802   0.0009   0.0088   0.0096   0.1101   0.1101   0.0005   0.0000   0.0026   0.0243    0.227
    74  -0.4681   0.0701   0.0007   0.0076   0.0088   0.1086   0.1086   0.0004   0.0000   0.0029   0.0234    0.223
    75  -0.4770   0.0597   0.0005   0.0064   0.0078   0.1066   0.1066   0.0003   0.0000   0.0033   0.0222    0.219
    76  -0.4845   0.0490   0.0003   0.0051   0.0062   0.1043   0.1043   0.0002   0.0000   0.0039   0.0206    0.213
    77  -0.4906   0.0382   0.0002   0.0039   0.0037   0.1013   0.1013  -0.0000   0.0000   0.0046   0.0184    0.204
    78  -0.4952   0.0271   0.0001   0.0026  -0.0008   0.0978   0.0978  -0.0005   0.0000   0.0056   0.0153    0.192
    79  -0.4983   0.0157   0.0000   0.0015  -0.0104   0.0943   0.0943  -0.0016   0.0000   0.0072   0.0105    0.173
    80  -0.4998   0.0028   0.0000   0.0004  -0.0564   0.1456   0.1456  -0.0092   0.0000   0.0129   0.0063    0.161
 ---------------------------------------------------------------
